"Test","p_value"
"Factor A",0.7824
"Factor A",0.0385
"Factor A",0.5535
"Factor A",0.245
"Factor A",0.8682
"Factor A",0.5644
"Factor A",0.5571
"Factor A",0.2473
"Factor A",0.7043
"Factor A",0.6281
"Factor A",0.7282
"Factor A",0.4901
"Factor A",0.363
"Factor A",0.7082
"Factor A",0.8888
"Factor A",0.8504
"Factor A",0.7676
"Factor A",0.7762
"Factor A",0.407
"Factor A",0.0972
"Factor A",0.6673
"Factor A",0.0135
"Factor A",0.1434
"Factor A",0.4619
"Factor A",0.2905
"Factor A",0.1041
"Factor A",0.6443
"Factor A",0.2661
"Factor A",0.942
"Factor A",0.7044
"Factor A",0.7922
"Factor A",0.2922
"Factor A",0.8598
"Factor A",0.3975
"Factor A",0.0443
"Factor A",0.1805
"Factor A",0.5179
"Factor A",0.1724
"Factor A",0.9174
"Factor A",0.6197
"Factor A",0.6893
"Factor A",0.3671
"Factor A",0.2129
"Factor A",0.2202
"Factor A",0.5254
"Factor A",0.1269
"Factor A",0.9675
"Factor A",0.3473
"Factor A",0.8158
"Factor A",0.7781
"Factor A",0.5454
"Factor A",0.5642
"Factor A",0.8795
"Factor A",0.2439
"Factor A",0.8385
"Factor A",0.1419
"Factor A",0.8896
"Factor A",0.5477
"Factor A",0.2105
"Factor A",0.1185
"Factor A",0.2078
"Factor A",0.2873
"Factor A",0.912
"Factor A",0.8181
"Factor A",0.8995
"Factor A",0.7609
"Factor A",0.7548
"Factor A",0.6078
"Factor A",0.2563
"Factor A",0.2723
"Factor A",0.6286
"Factor A",0.3556
"Factor A",0.1041
"Factor A",0.8529
"Factor A",0.741
"Factor A",0.0302
"Factor A",0.2745
"Factor A",0.7988
"Factor A",0.1
"Factor A",0.6575
"Factor A",0.5594
"Factor A",0.4869
"Factor A",0.2728
"Factor A",0.0461
"Factor A",0.4993
"Factor A",0.1868
"Factor A",0.245
"Factor A",0.463
"Factor A",0.2039
"Factor A",0.5426
"Factor A",0.1944
"Factor A",0.9095
"Factor A",0.4964
"Factor A",0.0505
"Factor A",0.4969
"Factor A",0.9355
"Factor A",0.8929
"Factor A",0.6535
"Factor A",0.364
"Factor A",0.7311
"Factor A",0.5868
"Factor A",0.9249
"Factor A",0.9287
"Factor A",0.7296
"Factor A",0.8229
"Factor A",0.2449
"Factor A",0.2026
"Factor A",0.527
"Factor A",0.9738
"Factor A",0.2904
"Factor A",0.4585
"Factor A",0.4848
"Factor A",0.6815
"Factor A",0.7622
"Factor A",0.5987
"Factor A",0.0286999999999999
"Factor A",0.7903
"Factor A",0.9572
"Factor A",0.7937
"Factor A",0.2902
"Factor A",0.9642
"Factor A",0.7324
"Factor A",0.414
"Factor A",0.7325
"Factor A",0.0219
"Factor A",0.4411
"Factor A",0.92
"Factor A",0.2218
"Factor A",0.971
"Factor A",0.7484
"Factor A",0.397
"Factor A",0.2907
"Factor A",0.8776
"Factor A",0.146
"Factor A",0.3203
"Factor A",0.628
"Factor A",0.7707
"Factor A",0.3978
"Factor A",0.2747
"Factor A",0.1885
"Factor A",0.2638
"Factor A",0.8516
"Factor A",0.2114
"Factor A",0.9703
"Factor A",0.8401
"Factor A",0.6089
"Factor A",0.7513
"Factor A",0.2996
"Factor A",0.7807
"Factor A",0.1814
"Factor A",0.4695
"Factor A",0.0349
"Factor A",0.2529
"Factor A",0.4098
"Factor A",0.68
"Factor A",0.0767
"Factor A",0.7263
"Factor A",0.426
"Factor A",0.9224
"Factor A",0.804
"Factor A",0.9866
"Factor A",0.3689
"Factor A",0.4867
"Factor A",0.1052
"Factor A",0.1723
"Factor A",0.5007
"Factor A",0.0623
"Factor A",0.1408
"Factor A",0.6093
"Factor A",0.4444
"Factor A",0.00129999999999997
"Factor A",0.9461
"Factor A",0.5406
"Factor A",0.2094
"Factor A",0.3621
"Factor A",0.00560000000000005
"Factor A",0.0959
"Factor A",0.6586
"Factor A",0.4228
"Factor A",0.3265
"Factor A",0.7442
"Factor A",0.8734
"Factor A",0.5572
"Factor A",0.6887
"Factor A",0.9656
"Factor A",0.1679
"Factor A",0.7499
"Factor A",0.0598
"Factor A",0.0417
"Factor A",0.2602
"Factor A",0.6004
"Factor A",0.9595
"Factor A",0.1646
"Factor A",0.1656
"Factor A",0.7981
"Factor A",0.2841
"Factor A",0.1972
"Factor A",0.658
"Factor A",0.7101
"Factor A",0.0888
"Factor A",0.1141
"Factor A",0.5519
"Factor A",0.3657
"Factor A",0.327
"Factor A",0.6124
"Factor A",0.89
"Factor A",0.3853
"Factor A",0.9332
"Factor A",0.4002
"Factor A",0.0750999999999999
"Factor A",0.7809
"Factor A",0.4446
"Factor A",0.5849
"Factor A",0.0288
"Factor A",0.1586
"Factor A",0.6971
"Factor A",0.3829
"Factor A",0.7914
"Factor A",0.5143
"Factor A",0.7457
"Factor A",0.3132
"Factor A",0.6128
"Factor A",0.8819
"Factor A",0.8525
"Factor A",0.0858
"Factor A",0.5673
"Factor A",0.9379
"Factor A",0.1733
"Factor A",0.1577
"Factor A",0.5339
"Factor A",0.0795
"Factor A",0.765
"Factor A",0.6218
"Factor A",0.7018
"Factor A",0.8157
"Factor A",0.7181
"Factor A",0.8454
"Factor A",0.5976
"Factor A",0.4288
"Factor A",0.1011
"Factor A",0.1545
"Factor A",0.2572
"Factor A",0.7694
"Factor A",0.8223
"Factor A",0.2367
"Factor A",0.9008
"Factor A",0.7459
"Factor A",0.2103
"Factor A",0.5462
"Factor A",0.0488
"Factor A",0.9461
"Factor A",0.9644
"Factor A",0.9854
"Factor A",0.8003
"Factor A",0.8192
"Factor A",0.6353
"Factor A",0.8101
"Factor A",0.7707
"Factor A",0.2504
"Factor A",0.6838
"Factor A",0.0269
"Factor A",0.2572
"Factor A",0.5866
"Factor A",0.0157
"Factor A",0.974
"Factor A",0.3995
"Factor A",0.1303
"Factor A",0.6224
"Factor A",0.4208
"Factor A",0.7647
"Factor A",0.4587
"Factor A",0.309
"Factor A",0.0435
"Factor A",0.9464
"Factor A",0.223
"Factor A",0.7122
"Factor A",0.872
"Factor A",0.4149
"Factor A",0.5956
"Factor A",0.844
"Factor A",0.2283
"Factor A",0.6408
"Factor A",0.2787
"Factor A",0.7107
"Factor A",0.8434
"Factor A",0.5193
"Factor A",0.95
"Factor A",0.3626
"Factor A",0.2486
"Factor A",0.215
"Factor A",0.3958
"Factor A",0.0071
"Factor A",0.7512
"Factor A",0.3133
"Factor A",0.6581
"Factor A",0.8694
"Factor A",0.8026
"Factor A",0.5532
"Factor A",0.4316
"Factor A",0.0925
"Factor A",0.9671
"Factor A",0.5206
"Factor A",0.8617
"Factor A",0.8571
"Factor A",0.7169
"Factor A",0.862
"Factor A",0.7435
"Factor A",0.5566
"Factor A",0.3349
"Factor A",0.2421
"Factor A",0.5041
"Factor A",0.1005
"Factor A",0.1908
"Factor A",0.096
"Factor A",0.0465
"Factor A",0.685
"Factor A",0.5553
"Factor A",0.2942
"Factor A",0.5382
"Factor A",0.8514
"Factor A",0.3757
"Factor A",0.9338
"Factor A",0.216
"Factor A",0.5461
"Factor A",0.8707
"Factor A",0.7942
"Factor A",0.2477
"Factor A",0.3113
"Factor A",0.6689
"Factor A",0.6543
"Factor A",0.9417
"Factor A",0.5122
"Factor A",0.1131
"Factor A",0.0982
"Factor A",0.7865
"Factor A",0.0958
"Factor A",0.7764
"Factor A",0.8794
"Factor A",0.056
"Factor A",0.6965
"Factor A",0.0854
"Factor A",0.2771
"Factor A",0.6114
"Factor A",0.3713
"Factor A",0.2992
"Factor A",0.3999
"Factor A",0.628
"Factor A",0.4058
"Factor A",0.8528
"Factor A",0.3884
"Factor A",0.412
"Factor A",0.7577
"Factor A",0.6433
"Factor A",0.6839
"Factor A",0.0954
"Factor A",0.7635
"Factor A",0.4442
"Factor A",0.2551
"Factor A",0.2469
"Factor A",0.3865
"Factor A",0.75
"Factor A",0.4149
"Factor A",0.0296999999999999
"Factor A",0.9961
"Factor A",0.7575
"Factor A",0.432
"Factor A",0.4342
"Factor A",0.9151
"Factor A",0.5583
"Factor A",0.179
"Factor A",0.7384
"Factor A",0.4687
"Factor A",0.5236
"Factor A",0.6071
"Factor A",0.4332
"Factor A",0.9238
"Factor A",0.0949
"Factor A",0.6962
"Factor A",0.9632
"Factor A",0.0182
"Factor A",0.8998
"Factor A",0.1876
"Factor A",0.7374
"Factor A",0.6175
"Factor A",0.4511
"Factor A",0.3452
"Factor A",0.455
"Factor A",0.5189
"Factor A",0.3339
"Factor A",0.0667
"Factor A",0.3714
"Factor A",0.7918
"Factor A",0.1949
"Factor A",0.0204
"Factor A",0.8104
"Factor A",0.5081
"Factor A",0.4867
"Factor A",0.7016
"Factor A",0.4502
"Factor A",0.0879
"Factor A",0.0184
"Factor A",0.5872
"Factor A",0.3838
"Factor A",0.7788
"Factor A",0.3878
"Factor A",0.6564
"Factor A",0.6108
"Factor A",0.0982
"Factor A",0.2974
"Factor A",0.5047
"Factor A",0.2064
"Factor A",0.1069
"Factor A",0.7646
"Factor A",0.9031
"Factor A",0.3587
"Factor A",0.3544
"Factor A",0.2353
"Factor A",0.2346
"Factor A",0.3236
"Factor A",0.2133
"Factor A",0.3094
"Factor A",0.0747
"Factor A",0.9546
"Factor A",0.326
"Factor A",0.4773
"Factor A",0.5308
"Factor A",0.4764
"Factor A",0.9983
"Factor A",0.6784
"Factor A",0.4157
"Factor A",0.5773
"Factor A",0.5024
"Factor A",0.1931
"Factor A",0.5073
"Factor A",0.8315
"Factor A",0.448
"Factor A",0.9344
"Factor A",0.7292
"Factor A",0.6193
"Factor A",0.7935
"Factor A",0.8061
"Factor A",0.2249
"Factor A",0.8202
"Factor A",0.2307
"Factor A",0.1209
"Factor A",0.7174
"Factor A",0.1658
"Factor A",0.3421
"Factor A",0.7
"Factor A",0.4898
"Factor A",0.5023
"Factor A",0.7595
"Factor A",0.2033
"Factor A",0.4249
"Factor A",0.8284
"Factor A",0.7569
"Factor A",0.7118
"Factor A",0.0143
"Factor A",0.6032
"Factor A",0.5769
"Factor A",0.5414
"Factor A",0.7605
"Factor A",0.5898
"Factor A",0.5235
"Factor A",0.0896
"Factor A",0.1962
"Factor A",0.1544
"Factor A",0.4059
"Factor A",0.1382
"Factor A",0.1149
"Factor A",0.587
"Factor A",0.6991
"Factor A",0.3065
"Factor A",0.5757
"Factor A",0.979
"Factor A",0.5213
"Factor A",0.5208
"Factor A",0.9873
"Factor A",0.2016
"Factor A",0.2352
"Factor A",0.4172
"Factor A",0.3935
"Factor A",0.1342
"Factor A",0.2598
"Factor A",0.6363
"Factor A",0.3779
"Factor A",0.8758
"Factor A",0.3583
"Factor A",0.8459
"Factor A",0.8262
"Factor A",0.9063
"Factor A",0.9479
"Factor A",0.1906
"Factor A",0.9162
"Factor A",0.0229
"Factor A",0.3235
"Factor A",0.00560000000000005
"Factor A",0.933
"Factor A",0.7248
"Factor A",0.4547
"Factor A",0.9599
"Factor A",0.4823
"Factor A",0.2883
"Factor A",0.3902
"Factor A",0.926
"Factor A",0.4999
"Factor A",0.9474
"Factor A",0.72
"Factor A",0.5217
"Factor A",0.036
"Factor A",0.7478
"Factor A",0.0767
"Factor A",0.1928
"Factor A",0.5619
"Factor A",0.539
"Factor A",0.4305
"Factor A",0.0145
"Factor A",0.8926
"Factor A",0.5743
"Factor A",0.2478
"Factor A",0.0563
"Factor A",0.3238
"Factor A",0.6538
"Factor A",0.369
"Factor A",0.4931
"Factor A",0.4338
"Factor A",0.0249
"Factor A",0.6196
"Factor A",0.9175
"Factor A",0.3765
"Factor A",0.7134
"Factor A",0.1451
"Factor A",0.5598
"Factor A",0.589
"Factor A",0.0241
"Factor A",0.4199
"Factor A",0.1021
"Factor A",0.4411
"Factor A",0.1472
"Factor A",0.5583
"Factor A",0.4236
"Factor A",0.7558
"Factor A",0.3007
"Factor A",0.2776
"Factor A",0.6118
"Factor A",0.8882
"Factor A",0.515
"Factor A",0.5432
"Factor A",0.1996
"Factor A",0.741
"Factor A",0.2305
"Factor A",0.5097
"Factor A",0.9531
"Factor A",0.608
"Factor A",0.109
"Factor A",0.2599
"Factor A",0.8228
"Factor A",0.2644
"Factor A",0.0197000000000001
"Factor A",0.3259
"Factor A",0.9131
"Factor A",0.9164
"Factor A",0.6736
"Factor A",0.9446
"Factor A",0.2371
"Factor A",0.6811
"Factor A",0.4774
"Factor A",0.1671
"Factor A",0.3958
"Factor A",0.0545
"Factor A",0.5808
"Factor A",0.302
"Factor A",0.3817
"Factor A",0.1927
"Factor A",0.5109
"Factor A",0.9913
"Factor A",0.8715
"Factor A",0.2372
"Factor A",0.6924
"Factor A",0.8032
"Factor A",0.506
"Factor A",0.7106
"Factor A",0.3558
"Factor A",0.2191
"Factor A",0.6038
"Factor A",0.4874
"Factor A",0.9504
"Factor A",0.9022
"Factor A",0.2006
"Factor A",0.3478
"Factor A",0.6602
"Factor A",0.461
"Factor A",0.2672
"Factor A",0.7625
"Factor A",0.4473
"Factor A",0.1117
"Factor A",0.4003
"Factor A",0.4678
"Factor A",0.5466
"Factor A",0.29
"Factor A",0.1473
"Factor A",0.9605
"Factor A",0.9589
"Factor A",0.3833
"Factor A",0.3505
"Factor A",0.3461
"Factor A",0.719
"Factor A",0.6594
"Factor A",0.3775
"Factor A",0.2246
"Factor A",0.9556
"Factor A",0.676
"Factor A",0.4757
"Factor A",0.9029
"Factor A",0.8149
"Factor A",0.8061
"Factor A",0.2695
"Factor A",0.9888
"Factor A",0.3432
"Factor A",0.422
"Factor A",0.6471
"Factor A",0.9452
"Factor A",0.6849
"Factor A",0.7518
"Factor A",0.9333
"Factor A",0.888
"Factor A",0.0582
"Factor A",0.6889
"Factor A",0.6271
"Factor A",0.1747
"Factor A",0.6597
"Factor A",0.7603
"Factor A",0.1847
"Factor A",0.7023
"Factor A",0.9608
"Factor A",0.183
"Factor A",0.7943
"Factor A",0.2215
"Factor A",0.1208
"Factor A",0.3976
"Factor A",0.6212
"Factor A",0.1079
"Factor A",0.7087
"Factor A",0.349
"Factor A",0.9267
"Factor A",0.7596
"Factor A",0.2666
"Factor A",0.9594
"Factor A",0.516
"Factor A",0.8565
"Factor A",0.4262
"Factor A",0.9232
"Factor A",0.512
"Factor A",0.9531
"Factor A",0.6893
"Factor A",0.3904
"Factor A",0.3482
"Factor A",0.1421
"Factor A",0.5093
"Factor A",0.6468
"Factor A",0.5335
"Factor A",0.3195
"Factor A",0.0804
"Factor A",0.569
"Factor A",0.7284
"Factor A",0.9279
"Factor A",0.7799
"Factor A",0.4203
"Factor A",0.1649
"Factor A",0.0239
"Factor A",0.1113
"Factor A",0.6931
"Factor A",0.0814
"Factor A",0.8397
"Factor A",0.1874
"Factor A",0.4051
"Factor A",0.393
"Factor A",0.6491
"Factor A",0.3806
"Factor A",0.3246
"Factor A",0.1622
"Factor A",0.6739
"Factor A",0.0434
"Factor A",0.4748
"Factor A",0.5015
"Factor A",0.9102
"Factor A",0.5882
"Factor A",0.2141
"Factor A",0.7551
"Factor A",0.1145
"Factor A",0.3699
"Factor A",0.0363
"Factor A",0.00209999999999999
"Factor A",0.1278
"Factor A",0.7394
"Factor A",0.1607
"Factor A",0.7263
"Factor A",0.6573
"Factor A",0.4227
"Factor A",0.00609999999999999
"Factor A",0.3822
"Factor A",0.2802
"Factor A",0.3366
"Factor A",0.00760000000000005
"Factor A",0.7847
"Factor A",0.9699
"Factor A",0.4369
"Factor A",0.3647
"Factor A",0.9099
"Factor A",0.7113
"Factor A",0.5685
"Factor A",0.9327
"Factor A",0.7224
"Factor A",0.3662
"Factor A",0.6805
"Factor A",0.2126
"Factor A",0.9308
"Factor A",0.3578
"Factor A",0.0799
"Factor A",0.6145
"Factor A",0.3371
"Factor A",0.51
"Factor A",0.0474
"Factor A",0.1145
"Factor A",0.9546
"Factor A",0.0377999999999999
"Factor A",0.4169
"Factor A",0.5735
"Factor A",0.6125
"Factor A",0.1922
"Factor A",0.5157
"Factor A",0.48
"Factor A",0.3248
"Factor A",0.9504
"Factor A",0.2634
"Factor A",0.4595
"Factor A",0.8042
"Factor A",0.5351
"Factor A",0.1726
"Factor A",0.2648
"Factor A",0.7049
"Factor A",0.4994
"Factor A",0.1392
"Factor A",0.316
"Factor A",0.7649
"Factor A",0.4296
"Factor A",0.6703
"Factor A",0.3963
"Factor A",0.7576
"Factor A",0.7408
"Factor A",0.0201
"Factor A",0.4426
"Factor A",0.6267
"Factor A",0.3824
"Factor A",0.6549
"Factor A",0.9183
"Factor A",0.6411
"Factor A",0.896
"Factor A",0.5512
"Factor A",0.757
"Factor A",0.0829
"Factor A",0.6329
"Factor A",0.5333
"Factor A",0.9612
"Factor A",0.1087
"Factor A",0.5311
"Factor A",0.8056
"Factor A",0.0582
"Factor A",0.592
"Factor A",0.3696
"Factor A",0.5631
"Factor A",0.5126
"Factor A",0.7674
"Factor A",0.1703
"Factor A",0.6817
"Factor A",0.5003
"Factor A",0.6008
"Factor A",0.8616
"Factor A",0.8159
"Factor A",0.4236
"Factor A",0.6596
"Factor A",0.0831
"Factor A",0.3971
"Factor A",0.8482
"Factor A",0.4414
"Factor A",0.905
"Factor A",0.3319
"Factor A",0.7114
"Factor A",0.6367
"Factor A",0.1005
"Factor A",0.1457
"Factor A",0.6704
"Factor A",0.3357
"Factor A",0.8605
"Factor A",0.8951
"Factor A",0.6831
"Factor A",0.786
"Factor A",0.3098
"Factor A",0.7993
"Factor A",0.4451
"Factor A",0.531
"Factor A",0.0587
"Factor A",0.3205
"Factor A",0.2438
"Factor A",0.4467
"Factor A",0.3663
"Factor A",0.6989
"Factor A",0.7827
"Factor A",0.4183
"Factor A",0.9424
"Factor A",0.9759
"Factor A",0.7648
"Factor A",0.6166
"Factor A",0.1978
"Factor A",0.41
"Factor A",0.107
"Factor A",0.3001
"Factor A",0.2048
"Factor A",0.6879
"Factor A",0.4278
"Factor A",0.102
"Factor A",0.5314
"Factor A",0.8048
"Factor A",0.5428
"Factor A",0.1868
"Factor A",0.5835
"Factor A",0.0923
"Factor A",0.8466
"Factor A",0.7533
"Factor A",0.366
"Factor A",0.3358
"Factor A",0.2393
"Factor A",0.3663
"Factor A",0.3662
"Factor A",0.6413
"Factor A",0.1226
"Factor A",0.221
"Factor A",0.7934
"Factor A",0.4305
"Factor A",0.9587
"Factor A",0.5707
"Factor A",0.2862
"Factor A",0.1818
"Factor A",0.00470000000000004
"Factor A",0.2635
"Factor A",0.183
"Factor A",0.4702
"Factor A",0.4174
"Factor A",0.1063
"Factor A",0.9895
"Factor A",0.5565
"Factor A",0.2313
"Factor A",0.3091
"Factor A",0.7289
"Factor A",0.0481
"Factor A",0.629
"Factor A",0.3771
"Factor A",0.0138
"Factor A",0.829
"Factor A",0.1544
"Factor A",0.824
"Factor A",0.4795
"Factor A",0.8873
"Factor A",0.0346
"Factor A",0.4679
"Factor A",0.7055
"Factor A",0.9165
"Factor A",0.8228
"Factor A",0.8463
"Factor A",0.0832000000000001
"Factor A",0.212
"Factor A",0.92
"Factor A",0.0891
"Factor A",0.2912
"Factor A",0.5018
"Factor A",0.6025
"Factor A",0.338
"Factor A",0.00370000000000004
"Factor A",0.2994
"Factor A",0.9606
"Factor A",0.6285
"Factor A",0.7481
"Factor A",0.275
"Factor A",0.6653
"Factor A",0.3831
"Factor A",0.1711
"Factor A",0.2828
"Factor A",0.8799
"Factor A",0.7796
"Factor A",0.0454
"Factor A",0.7522
"Factor A",0.4994
"Factor A",0.239
"Factor A",0.3389
"Factor A",0.8496
"Factor A",0.1506
"Factor A",0.8277
"Factor A",0.5347
"Factor A",0.9491
"Factor A",0.2236
"Factor A",0.088
"Factor A",0.4734
"Factor A",0.588
"Factor A",0.8519
"Factor A",0.2822
"Factor A",0.1009
"Factor A",0.7638
"Factor A",0.8502
"Factor A",0.7367
"Factor A",0.7983
"Factor A",0.9617
"Factor A",0.9577
"Factor A",0.5703
"Factor A",0.1516
"Factor A",0.4886
"Factor A",0.7658
"Factor A",0.7414
"Factor A",0.7876
"Factor A",0.7867
"Factor A",0.0216
"Factor A",0.7943
"Factor A",0.829
"Factor A",0.1269
"Factor A",0.0692
"Factor A",0.619
"Factor A",0.4377
"Factor A",0.3165
"Factor A",0.00980000000000003
"Factor A",0.6881
"Factor A",0.9554
"Factor A",0.5994
"Factor A",0.758
"Factor A",0.288
"Factor A",0.8376
"Factor A",0.7615
"Factor A",0.8128
"Factor A",0.3433
"Factor A",0.703
"Factor A",0.5861
"Factor A",0.885
"Factor A",0.7164
"Factor A",0.2102
"Factor A",0.6213
"Factor A",0.6121
"Factor A",0.8589
"Factor A",0.8183
"Factor A",0.2266
"Factor A",0.3315
"Factor A",0.6119
"Factor A",0.6903
"Factor A",0.6357
"Factor A",0.8936
"Factor A",0.7423
"Factor A",0.5639
"Factor A",0.819
"Factor A",0.6449
"Factor A",0.468
"Factor A",0.4805
"Factor A",0.7076
"Factor A",0.6009
"Factor A",0.5014
"Factor A",0.2045
"Factor A",0.5501
"Factor A",0.1713
"Factor A",0.3023
"Factor A",0.2526
"Factor A",0.3963
"Factor A",0.7506
"Factor A",0.9272
"Factor A",0.1348
"Factor A",0.4346
"Factor A",0.0187
"Factor A",0.3104
"Factor A",0.5019
"Factor A",0.7695
"Factor A",0.2334
"Factor A",0.8243
"Factor A",0.0727
"Factor A",0.3276
"Factor A",0.3871
"Factor A",0.8783
"Factor A",0.7357
"Factor A",0.1871
"Factor A",0.0212
"Factor A",0.7634
"Factor A",0.983
"Factor A",0.9484
"Factor A",0.2305
"Factor A",0.0123
"Factor A",0.9612
"Factor A",0.3077
"Factor A",0.9916
"Factor A",0.3199
"Factor A",0.0600000000000001
"Factor A",0.6867
"Factor A",0.888
"Factor A",0.732
"Factor A",0.971
"Factor A",0.6859
"Factor A",0.0574
"Factor A",0.9821
"Factor A",0.6285
"Factor A",0.8594
"Factor A",0.656
"Factor A",0.7839
"Factor A",0.1119
"Factor A",0.6808
"Factor A",0.9325
"Factor A",0.8222
"Factor A",0.0503
"Factor A",0.7555
"Factor A",0.0147
"Factor A",0.6894
"Factor A",0.822
"Factor A",0.9752
"Factor A",0.5846
"Factor A",0.5566
"Factor A",0.1491
